date,value
1991-01-01,6.31
1992-01-01,6.42
1993-01-01,6.03
1994-01-01,6.17
1995-01-01,6.42
1996-01-01,7.25
1997-01-01,8.16
1998-01-01,9.42
1999-01-01,10.21
2000-01-01,9.56
2001-01-01,9.61
2002-01-01,9.37
2003-01-01,9.99
2004-01-01,9.11
2005-01-01,9.57
2006-01-01,8.64
2007-01-01,8.33
2008-01-01,7.34
2009-01-01,8.52
2010-01-01,7.27
2011-01-01,6.92
2012-01-01,7.19
2013-01-01,6.98
2014-01-01,6.66
2015-01-01,8.43
2016-01-01,11.6
2017-01-01,12.82
2018-01-01,12.33
2019-01-01,11.93
2020-01-01,13.69
2021-01-01,14.4
