TIME_PERIOD,France,Italy,United Kingdom,United States,Brazil
1983-01,8.3,6.9,10.7,10.4,
1983-02,8.0,7.1,10.8,10.4,
1983-03,8.0,7.2,10.8,10.3,
1983-04,8.3,7.2,11.0,10.2,
1983-05,8.5,7.3,10.9,10.1,
1983-06,8.8,7.3,11.0,10.1,
1983-07,8.9,7.4,10.9,9.4,
1983-08,9.0,7.4,10.9,9.5,
1983-09,9.1,7.5,10.9,9.2,
1983-10,9.2,7.6,10.8,8.8,
1983-11,9.4,7.7,10.8,8.5,
1983-12,9.6,7.8,10.8,8.3,
1984-01,9.6,7.9,10.7,8.0,
1984-02,9.7,7.9,10.8,7.8,
1984-03,9.8,7.8,10.7,7.8,
1984-04,9.9,7.9,10.7,7.7,
1984-05,9.9,7.8,10.7,7.4,
1984-06,10.0,7.8,10.8,7.2,
1984-07,10.1,7.8,10.9,7.5,
1984-08,10.2,7.8,10.9,7.5,
1984-09,10.3,7.8,11.0,7.3,
1984-10,10.4,7.8,11.0,7.4,
1984-11,10.4,7.8,11.1,7.2,
1984-12,10.5,7.9,11.1,7.3,
1985-01,10.4,8.0,11.2,7.3,
1985-02,10.4,8.0,11.2,7.2,
1985-03,10.4,8.0,11.2,7.2,
1985-04,10.4,8.0,11.3,7.3,
1985-05,10.4,8.0,11.3,7.2,
1985-06,10.4,8.1,11.2,7.4,
1985-07,10.4,8.2,11.2,7.4,
1985-08,10.4,8.2,11.2,7.1,
1985-09,10.4,8.3,11.2,7.1,
1985-10,10.4,8.3,11.2,7.1,
1985-11,10.5,8.4,11.1,7.0,
1985-12,10.5,8.5,11.2,7.0,
1986-01,10.4,8.5,11.2,6.7,
1986-02,10.3,8.6,11.1,7.2,
1986-03,10.4,8.6,11.2,7.2,
1986-04,10.4,8.7,11.3,7.1,
1986-05,10.5,8.8,11.3,7.2,
1986-06,10.5,8.8,11.3,7.2,
1986-07,10.6,8.9,11.3,7.0,
1986-08,10.6,9.0,11.3,6.9,
1986-09,10.7,9.1,11.3,7.0,
1986-10,10.8,9.1,11.2,7.0,
1986-11,10.8,9.1,11.2,6.9,
1986-12,10.9,9.2,11.2,6.6,
1987-01,10.8,9.2,11.1,6.6,
1987-02,10.8,9.3,11.0,6.6,
1987-03,10.8,9.3,10.9,6.6,
1987-04,10.7,9.4,10.8,6.3,
1987-05,10.7,9.7,10.6,6.3,
1987-06,10.6,9.9,10.5,6.2,
1987-07,10.6,9.8,10.3,6.1,
1987-08,10.6,9.8,10.1,6.0,
1987-09,10.5,9.8,10.0,5.9,
1987-10,10.5,9.8,9.8,6.0,
1987-11,10.5,9.7,9.6,5.8,
1987-12,10.5,9.7,9.4,5.7,
1988-01,10.3,9.7,9.2,5.7,
1988-02,10.3,9.7,9.1,5.7,
